Sensor #0 : [60, -150]  Sensor #1 : [25, -410]  Sensor #2 : [70, -740]  
   1d AM 5h 28m 22.6s   Sensor #1   Turn On
   1d AM 5h 28m 24.3s   Sensor #1   Turn Off
   1d AM 6h 48m 42.9s   Sensor #1   Turn On
   1d AM 6h 48m 43.9s   Sensor #1   Turn Off
   1d AM 6h 48m 47.5s   Sensor #2   Turn On
   1d AM 6h 48m 49.2s   Sensor #2   Turn Off
   1d AM 6h 49m 42.3s   Sensor #2   Turn On
   1d AM 6h 49m 42.9s   Sensor #2   Turn Off
   1d AM 6h 57m 56.2s   Sensor #2   Turn On
   1d AM 6h 57m 58.0s   Sensor #2   Turn Off
   1d AM 6h 58m 38.2s   Sensor #1   Turn On
   1d AM 6h 58m 39.9s   Sensor #1   Turn Off
   1d AM 6h 58m 42.2s   Sensor #0   Turn On
   1d AM 6h 58m 43.9s   Sensor #0   Turn Off
   1d AM 7h 20m 43.4s   Sensor #0   Turn On
   1d AM 7h 20m 44.9s   Sensor #0   Turn Off
   1d AM 7h 22m 16.6s   Sensor #1   Turn On
   1d AM 7h 22m 18.3s   Sensor #1   Turn Off
   1d AM 11h 46m 20.2s   Sensor #1   Turn On
   1d AM 11h 46m 21.4s   Sensor #1   Turn Off
   1d AM 11h 48m 2.1s   Sensor #2   Turn On
   1d AM 11h 48m 3.9s   Sensor #2   Turn Off
   1d AM 11h 48m 6.8s   Sensor #2   Turn On
   1d AM 11h 48m 8.4s   Sensor #2   Turn Off
   1d AM 11h 48m 16.6s   Sensor #2   Turn On
   1d AM 11h 48m 18.3s   Sensor #2   Turn Off
   1d AM 11h 49m 9.3s   Sensor #2   Turn On
   1d AM 11h 57m 1.7s   Sensor #2   Turn Off
   1d AM 11h 57m 2.2s   Sensor #2   Turn On
   1d AM 11h 57m 4.0s   Sensor #2   Turn Off
   1d AM 11h 57m 42.2s   Sensor #1   Turn On
   1d AM 11h 57m 43.9s   Sensor #1   Turn Off
   1d AM 11h 57m 46.2s   Sensor #0   Turn On
   1d AM 11h 57m 47.9s   Sensor #0   Turn Off
   1d PM 0h 18m 50.8s   Sensor #0   Turn On
   1d PM 0h 18m 52.2s   Sensor #0   Turn Off
   1d PM 0h 54m 16.1s   Sensor #1   Turn On
   1d PM 0h 54m 17.3s   Sensor #1   Turn Off
   1d PM 0h 55m 49.6s   Sensor #1   Turn On
   1d PM 0h 55m 51.3s   Sensor #1   Turn Off
   1d PM 1h 26m 22.0s   Sensor #0   Turn On
   1d PM 1h 26m 23.7s   Sensor #0   Turn Off
