Sensor #0 : [ -490, 190]  Sensor #1 : [ -555, 0]  Sensor #2 : [ -110, -5]  
   1d AM 8h 17m 18.3s   Sensor #2   Turn On
   1d AM 8h 17m 19.7s   Sensor #2   Turn Off
   1d AM 8h 17m 27.2s   Sensor #1   Turn On
   1d AM 8h 17m 28.7s   Sensor #1   Turn Off
   1d AM 8h 21m 2.2s   Sensor #1   Turn On
   1d AM 8h 21m 3.4s   Sensor #1   Turn Off
   1d AM 8h 30m 58.4s   Sensor #1   Turn On
   1d AM 8h 31m 0.0s   Sensor #1   Turn Off
   1d AM 8h 52m 57.2s   Sensor #1   Turn On
   1d AM 8h 52m 58.6s   Sensor #1   Turn Off
   1d AM 8h 53m 47.9s   Sensor #1   Turn On
   1d AM 8h 53m 49.7s   Sensor #1   Turn Off
   1d AM 8h 53m 57.3s   Sensor #2   Turn On
   1d AM 8h 53m 58.6s   Sensor #2   Turn Off
   1d AM 8h 54m 32.5s   Sensor #2   Turn On
   1d AM 8h 54m 33.9s   Sensor #2   Turn Off
   1d AM 8h 54m 39.4s   Sensor #0   Turn On
   1d AM 8h 54m 40.7s   Sensor #0   Turn Off
   1d AM 11h 3m 42.4s   Sensor #0   Turn On
   1d AM 11h 3m 43.7s   Sensor #0   Turn Off
   1d AM 11h 3m 49.3s   Sensor #2   Turn On
   1d AM 11h 3m 50.5s   Sensor #2   Turn Off
   1d AM 11h 4m 23.7s   Sensor #2   Turn On
   1d AM 11h 4m 25.2s   Sensor #2   Turn Off
   1d AM 11h 4m 32.4s   Sensor #1   Turn On
   1d AM 11h 4m 33.7s   Sensor #1   Turn Off
   1d AM 11h 25m 47.8s   Sensor #2   Turn On
   1d AM 11h 25m 49.1s   Sensor #2   Turn Off
   1d AM 11h 27m 24.6s   Sensor #2   Turn On
   1d AM 11h 27m 25.9s   Sensor #2   Turn Off
   1d AM 11h 27m 28.8s   Sensor #2   Turn On
   1d AM 11h 27m 30.2s   Sensor #2   Turn Off
   1d AM 11h 27m 32.5s   Sensor #2   Turn On
   1d AM 11h 27m 34.0s   Sensor #2   Turn Off
   1d AM 11h 27m 38.3s   Sensor #2   Turn On
   1d AM 11h 27m 39.7s   Sensor #2   Turn Off
   1d AM 11h 27m 45.5s   Sensor #2   Turn On
   1d AM 11h 27m 46.8s   Sensor #2   Turn Off
   1d PM 1h 19m 50.0s   Sensor #0   Turn On
   1d PM 1h 19m 50.8s   Sensor #0   Turn Off
   1d PM 1h 29m 56.6s   Sensor #1   Turn On
   1d PM 1h 29m 58.3s   Sensor #1   Turn Off
   1d PM 1h 52m 18.5s   Sensor #2   Turn On
   1d PM 2h 31m 7.5s   Sensor #2   Turn Off
   1d PM 2h 31m 9.8s   Sensor #2   Turn On
   1d PM 2h 31m 11.4s   Sensor #2   Turn Off
   1d PM 2h 31m 17.0s   Sensor #0   Turn On
   1d PM 2h 31m 17.4s   Sensor #0   Turn Off
   1d PM 2h 31m 18.9s   Sensor #1   Turn On
   1d PM 2h 31m 20.7s   Sensor #1   Turn Off
   1d PM 2h 32m 19.0s   Sensor #1   Turn On
   1d PM 2h 32m 20.7s   Sensor #1   Turn Off
   1d PM 2h 32m 21.9s   Sensor #0   Turn On
   1d PM 2h 32m 23.4s   Sensor #0   Turn Off
   1d PM 2h 50m 24.0s   Sensor #0   Turn On
   1d PM 2h 50m 25.1s   Sensor #0   Turn Off
   1d PM 3h 43m 37.1s   Sensor #2   Turn On
   1d PM 3h 43m 38.9s   Sensor #2   Turn Off
