Sensor #0 : [150, -60]  Sensor #1 : [435, 35]  Sensor #2 : [695, 45]  
   1d AM 9h 6m 49.5s   Sensor #0   Turn On
   1d AM 9h 6m 51.0s   Sensor #0   Turn Off
   1d AM 9h 6m 53.9s   Sensor #1   Turn On
   1d AM 9h 6m 55.3s   Sensor #1   Turn Off
   1d AM 9h 13m 7.4s   Sensor #1   Turn On
   1d AM 9h 13m 9.2s   Sensor #1   Turn Off
   1d AM 10h 25m 42.6s   Sensor #1   Turn On
   1d AM 10h 25m 44.2s   Sensor #1   Turn Off
   1d AM 10h 37m 9.1s   Sensor #1   Turn On
   1d AM 10h 37m 10.7s   Sensor #1   Turn Off
   1d AM 10h 37m 13.6s   Sensor #0   Turn On
   1d AM 10h 38m 23.9s   Sensor #0   Turn Off
   1d AM 10h 38m 24.7s   Sensor #0   Turn On
   1d AM 10h 38m 26.4s   Sensor #0   Turn Off
   1d AM 11h 23m 44.9s   Sensor #1   Turn On
   1d AM 11h 23m 46.6s   Sensor #1   Turn Off
   1d AM 11h 23m 48.7s   Sensor #2   Turn On
   1d AM 11h 23m 50.5s   Sensor #2   Turn Off
   1d AM 11h 33m 45.1s   Sensor #2   Turn On
   1d AM 11h 33m 46.1s   Sensor #2   Turn Off
   1d AM 11h 58m 38.2s   Sensor #1   Turn On
   1d AM 11h 58m 39.3s   Sensor #1   Turn Off
   1d PM 0h 10m 17.3s   Sensor #0   Turn On
   1d PM 0h 10m 18.6s   Sensor #0   Turn Off
   1d PM 3h 1m 54.4s   Sensor #0   Turn On
   1d PM 3h 1m 55.9s   Sensor #0   Turn Off
   1d PM 3h 1m 58.8s   Sensor #1   Turn On
   1d PM 3h 2m 0.5s   Sensor #1   Turn Off
   1d PM 3h 3m 18.3s   Sensor #1   Turn On
   1d PM 3h 3m 20.0s   Sensor #1   Turn Off
   1d PM 3h 14m 16.0s   Sensor #1   Turn On
   1d PM 3h 14m 17.6s   Sensor #1   Turn Off
   1d PM 3h 14m 21.5s   Sensor #1   Turn On
   1d PM 3h 14m 23.2s   Sensor #1   Turn Off
   1d PM 3h 14m 33.0s   Sensor #1   Turn On
   1d PM 3h 14m 36.4s   Sensor #1   Turn Off
   1d PM 6h 11m 44.9s   Sensor #1   Turn On
   1d PM 6h 11m 46.6s   Sensor #1   Turn Off
   1d PM 6h 11m 48.7s   Sensor #2   Turn On
   1d PM 6h 11m 50.5s   Sensor #2   Turn Off
   1d PM 6h 21m 38.2s   Sensor #2   Turn On
   1d PM 6h 21m 39.1s   Sensor #2   Turn Off
   1d PM 6h 47m 31.3s   Sensor #1   Turn On
   1d PM 6h 47m 33.0s   Sensor #1   Turn Off
