Sensor #0 : [ 145, 185]  Sensor #1 : [ -85, 370]  Sensor #2 : [ -45, 660]  
   2d AM 6h 21m 57.4s   Sensor #1   Turn On
   2d AM 6h 21m 58.8s   Sensor #1   Turn Off
   2d AM 6h 29m 43.0s   Sensor #1   Turn On
   2d AM 6h 29m 43.7s   Sensor #1   Turn Off
   2d AM 6h 52m 27.7s   Sensor #1   Turn On
   2d AM 6h 52m 28.0s   Sensor #1   Turn Off
   2d AM 6h 53m 17.0s   Sensor #1   Turn On
   2d AM 6h 53m 17.7s   Sensor #1   Turn Off
   2d AM 7h 22m 48.0s   Sensor #0   Turn On
   2d AM 7h 22m 49.7s   Sensor #0   Turn Off
   2d AM 10h 42m 47.1s   Sensor #0   Turn On
   2d AM 10h 42m 48.9s   Sensor #0   Turn Off
   2d AM 10h 45m 22.5s   Sensor #1   Turn On
   2d AM 10h 45m 24.1s   Sensor #1   Turn Off
   2d AM 10h 45m 35.9s   Sensor #1   Turn On
   2d AM 10h 45m 37.5s   Sensor #1   Turn Off
   2d AM 10h 45m 39.8s   Sensor #1   Turn On
   2d AM 10h 45m 40.3s   Sensor #1   Turn Off
   2d AM 11h 3m 14.4s   Sensor #1   Turn On
   2d AM 11h 3m 15.8s   Sensor #1   Turn Off
   2d AM 11h 19m 4.4s   Sensor #1   Turn On
   2d AM 11h 19m 5.8s   Sensor #1   Turn Off
   2d PM 1h 51m 22.3s   Sensor #1   Turn On
   2d PM 1h 51m 23.9s   Sensor #1   Turn Off
   2d PM 1h 51m 26.6s   Sensor #2   Turn On
   2d PM 1h 51m 28.0s   Sensor #2   Turn Off
   2d PM 1h 59m 8.2s   Sensor #2   Turn On
   2d PM 1h 59m 9.5s   Sensor #2   Turn Off
   2d PM 1h 59m 12.3s   Sensor #1   Turn On
   2d PM 1h 59m 13.9s   Sensor #1   Turn Off
   2d PM 2h 14m 28.0s   Sensor #1   Turn On
   2d PM 2h 14m 29.5s   Sensor #1   Turn Off
   2d PM 3h 8m 36.1s   Sensor #1   Turn On
   2d PM 3h 8m 37.0s   Sensor #1   Turn Off
   2d PM 3h 9m 28.1s   Sensor #1   Turn On
   2d PM 3h 9m 28.7s   Sensor #1   Turn Off
